sample_id,scope,mode,duration_group,wer,cer,wer_s,wer_d,wer_i,wer_n,cer_s,cer_d,cer_i,cer_n,empty
aishell1_S0049_01,aishell1_clean,non-streaming,very_long,0.1442,0.1442,10,5,0,104,10,5,0,104,0
aishell1_S0054_01,aishell1_clean,streaming,very_long,0.0230,0.0230,2,0,0,87,2,0,0,87,0
aishell1_S0054_01,aishell1_clean,non-streaming,very_long,0.0000,0.0000,0,0,0,87,0,0,0,87,0
aishell1_S0052_01,aishell1_clean,streaming,very_long,0.0482,0.0482,4,0,0,83,4,0,0,83,0
aishell1_S0052_01,aishell1_clean,non-streaming,very_long,0.0723,0.0723,6,0,0,83,6,0,0,83,0
aishell1_S0046_01,aishell1_clean,streaming,very_long,0.2198,0.2198,17,3,0,91,17,3,0,91,0
aishell1_S0046_01,aishell1_clean,non-streaming,very_long,0.1868,0.1868,14,3,0,91,14,3,0,91,0
aishell1_S0038_01,aishell1_clean,streaming,very_long,0.2273,0.2273,17,0,3,88,17,0,3,88,0
aishell1_S0038_01,aishell1_clean,non-streaming,very_long,0.2273,0.2273,17,0,3,88,17,0,3,88,0
aishell1_S0037_01,aishell1_clean,streaming,very_long,0.1959,0.1959,18,0,1,97,18,0,1,97,0
aishell1_S0037_01,aishell1_clean,non-streaming,very_long,0.1649,0.1649,15,0,1,97,15,0,1,97,0
aishell1_S0061_01,aishell1_clean,streaming,very_long,0.0690,0.0690,6,0,0,87,6,0,0,87,0
aishell1_S0061_01,aishell1_clean,non-streaming,very_long,0.0690,0.0690,6,0,0,87,6,0,0,87,0
aishell1_S0058_01,aishell1_clean,streaming,very_long,0.1340,0.1340,13,0,0,97,13,0,0,97,0
aishell1_S0058_01,aishell1_clean,non-streaming,very_long,0.1134,0.1134,11,0,0,97,11,0,0,97,0
aishell1_S0055_01,aishell1_clean,streaming,very_long,0.0105,0.0105,0,0,1,95,0,0,1,95,0
aishell1_S0055_01,aishell1_clean,non-streaming,very_long,0.0000,0.0000,0,0,0,95,0,0,0,95,0
