sample_id,dataset,language,dialog_id,turn_index,text_length,duration_group,audio_duration_s,baseline_ttft_ms,streaming_asr_ttft_ms,full_streaming_ttft_ms,asr_gain_ms,kv_gain_ms,total_gain_ms,total_gain_ratio_%
multiwoz_PMUL0271_turn6,multiwoz,en,PMUL0271,6,966,extra_long,70.18,4194.04,859.09,823.35,3334.94,35.74,3370.69,80.4
multiwoz_PMUL3103_turn9,multiwoz,en,PMUL3103,9,1182,extra_long,70.91,4332.46,1183.03,1171.18,3149.43,11.85,3161.28,73.0
crosswoz_9956_turn9,crosswoz,zh,9956,9,349,extra_long,71.04,5475.89,923.15,885.12,4552.74,38.03,4590.77,83.8
multiwoz_MUL0076_turn6,multiwoz,en,MUL0076,6,939,extra_long,71.11,4764.88,1434.44,1463.25,3330.44,-28.81,3301.63,69.3
multiwoz_MUL1152_turn6,multiwoz,en,MUL1152,6,978,extra_long,71.94,4257.79,941.74,927.58,3316.05,14.16,3330.22,78.2
multiwoz_MUL1377_turn5,multiwoz,en,MUL1377,5,875,extra_long,71.98,4400.28,1398.29,1372.13,3001.99,26.17,3028.15,68.8
multiwoz_PMUL4885_turn7,multiwoz,en,PMUL4885,7,884,extra_long,72.13,4240.11,678.97,684.31,3561.15,-5.35,3555.80,83.9
multiwoz_PMUL0237_turn7,multiwoz,en,PMUL0237,7,904,extra_long,72.26,4383.77,916.71,894.60,3467.06,22.11,3489.17,79.6
multiwoz_MUL1353_turn6,multiwoz,en,MUL1353,6,970,extra_long,72.88,4118.68,898.68,860.98,3220.00,37.70,3257.69,79.1
multiwoz_MUL1191_turn6,multiwoz,en,MUL1191,6,955,extra_long,72.97,4297.35,1380.84,1330.10,2916.51,50.73,2967.25,69.0
