sample_id,dataset,language,dialog_id,turn_index,text_length,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
crosswoz_497_turn3,crosswoz,zh,497,3,131,25.65,long,baseline,2435.00,2378.11,56.89,
crosswoz_497_turn3,crosswoz,zh,497,3,131,25.65,long,streaming_asr_only,703.45,640.08,63.37,
crosswoz_497_turn3,crosswoz,zh,497,3,131,25.65,long,full_streaming,696.46,607.01,89.45,
crosswoz_11406_turn3,crosswoz,zh,11406,3,128,25.67,long,baseline,2328.33,2252.09,76.24,
crosswoz_11406_turn3,crosswoz,zh,11406,3,128,25.67,long,streaming_asr_only,728.66,663.36,65.31,
crosswoz_11406_turn3,crosswoz,zh,11406,3,128,25.67,long,full_streaming,766.01,675.10,90.91,
crosswoz_12299_turn2,crosswoz,zh,12299,2,122,25.69,long,baseline,2153.92,2093.51,60.41,
crosswoz_12299_turn2,crosswoz,zh,12299,2,122,25.69,long,streaming_asr_only,1082.39,1024.90,57.49,
crosswoz_12299_turn2,crosswoz,zh,12299,2,122,25.69,long,full_streaming,1117.81,1032.58,85.23,
crosswoz_3145_turn2,crosswoz,zh,3145,2,123,25.75,long,baseline,2209.20,2152.48,56.72,
crosswoz_3145_turn2,crosswoz,zh,3145,2,123,25.75,long,streaming_asr_only,1453.51,1380.28,73.22,
crosswoz_3145_turn2,crosswoz,zh,3145,2,123,25.75,long,full_streaming,1510.81,1416.20,94.61,
crosswoz_9365_turn3,crosswoz,zh,9365,3,137,25.87,long,baseline,2082.03,2027.45,54.58,
crosswoz_9365_turn3,crosswoz,zh,9365,3,137,25.87,long,streaming_asr_only,0.00,0.00,0.00,HTTP Error 504: Gateway Time-out
crosswoz_9365_turn3,crosswoz,zh,9365,3,137,25.87,long,full_streaming,704.64,613.80,90.84,
crosswoz_10382_turn3,crosswoz,zh,10382,3,138,26.17,long,baseline,2188.08,2128.97,59.11,
crosswoz_10382_turn3,crosswoz,zh,10382,3,138,26.17,long,streaming_asr_only,1011.17,932.48,78.69,
crosswoz_10382_turn3,crosswoz,zh,10382,3,138,26.17,long,full_streaming,0.00,0.00,0.00,HTTP Error 504: Gateway Time-out
crosswoz_8424_turn3,crosswoz,zh,8424,3,182,26.51,long,baseline,2188.31,2128.69,59.62,
crosswoz_8424_turn3,crosswoz,zh,8424,3,182,26.51,long,streaming_asr_only,1488.95,1416.56,72.39,
crosswoz_8424_turn3,crosswoz,zh,8424,3,182,26.51,long,full_streaming,1513.23,1429.03,84.21,
crosswoz_8672_turn2,crosswoz,zh,8672,2,125,26.59,long,baseline,2183.36,2122.64,60.73,
crosswoz_8672_turn2,crosswoz,zh,8672,2,125,26.59,long,streaming_asr_only,725.24,657.26,67.98,
crosswoz_8672_turn2,crosswoz,zh,8672,2,125,26.59,long,full_streaming,756.58,668.93,87.66,
crosswoz_10296_turn2,crosswoz,zh,10296,2,121,26.67,long,baseline,2157.73,2110.53,47.19,
crosswoz_10296_turn2,crosswoz,zh,10296,2,121,26.67,long,streaming_asr_only,889.09,822.66,66.43,
crosswoz_10296_turn2,crosswoz,zh,10296,2,121,26.67,long,full_streaming,922.61,837.83,84.78,
crosswoz_8707_turn3,crosswoz,zh,8707,3,161,26.68,long,baseline,2150.36,2090.84,59.51,
crosswoz_8707_turn3,crosswoz,zh,8707,3,161,26.68,long,streaming_asr_only,901.72,840.64,61.08,
crosswoz_8707_turn3,crosswoz,zh,8707,3,161,26.68,long,full_streaming,939.07,853.97,85.10,
crosswoz_9138_turn3,crosswoz,zh,9138,3,138,27.14,long,baseline,2314.82,2259.84,54.97,
crosswoz_9138_turn3,crosswoz,zh,9138,3,138,27.14,long,streaming_asr_only,920.80,843.17,77.63,
crosswoz_9138_turn3,crosswoz,zh,9138,3,138,27.14,long,full_streaming,911.81,824.09,87.72,
crosswoz_9080_turn2,crosswoz,zh,9080,2,132,27.38,long,baseline,2152.93,2105.58,47.35,
crosswoz_9080_turn2,crosswoz,zh,9080,2,132,27.38,long,streaming_asr_only,1478.94,1409.40,69.54,
crosswoz_9080_turn2,crosswoz,zh,9080,2,132,27.38,long,full_streaming,1591.23,1505.73,85.51,
crosswoz_10574_turn3,crosswoz,zh,10574,3,142,27.89,long,baseline,2216.69,2169.36,47.33,
crosswoz_10574_turn3,crosswoz,zh,10574,3,142,27.89,long,streaming_asr_only,948.69,882.49,66.20,
crosswoz_10574_turn3,crosswoz,zh,10574,3,142,27.89,long,full_streaming,967.35,881.30,86.05,
crosswoz_422_turn3,crosswoz,zh,422,3,138,28.21,long,baseline,2142.20,2081.45,60.75,
crosswoz_422_turn3,crosswoz,zh,422,3,138,28.21,long,streaming_asr_only,865.12,795.41,69.71,
crosswoz_422_turn3,crosswoz,zh,422,3,138,28.21,long,full_streaming,880.45,793.06,87.39,
crosswoz_11893_turn2,crosswoz,zh,11893,2,141,28.63,long,baseline,2217.80,2158.79,59.00,
crosswoz_11893_turn2,crosswoz,zh,11893,2,141,28.63,long,streaming_asr_only,1303.18,1233.18,70.01,
crosswoz_11893_turn2,crosswoz,zh,11893,2,141,28.63,long,full_streaming,1318.56,1225.77,92.78,
crosswoz_12011_turn2,crosswoz,zh,12011,2,139,28.98,long,baseline,2336.54,2277.29,59.25,
crosswoz_12011_turn2,crosswoz,zh,12011,2,139,28.98,long,streaming_asr_only,752.51,679.97,72.54,
crosswoz_12011_turn2,crosswoz,zh,12011,2,139,28.98,long,full_streaming,778.76,694.17,84.59,
crosswoz_8436_turn2,crosswoz,zh,8436,2,136,29.08,long,baseline,2090.53,2038.66,51.87,
crosswoz_8436_turn2,crosswoz,zh,8436,2,136,29.08,long,streaming_asr_only,1008.27,940.33,67.94,
crosswoz_8436_turn2,crosswoz,zh,8436,2,136,29.08,long,full_streaming,1024.45,935.23,89.22,
crosswoz_10197_turn3,crosswoz,zh,10197,3,146,29.87,long,baseline,2387.55,2324.98,62.57,
crosswoz_10197_turn3,crosswoz,zh,10197,3,146,29.87,long,streaming_asr_only,1102.09,1027.72,74.38,
crosswoz_10197_turn3,crosswoz,zh,10197,3,146,29.87,long,full_streaming,1108.82,1018.78,90.04,
crosswoz_10661_turn3,crosswoz,zh,10661,3,151,29.87,long,baseline,2434.31,2383.21,51.10,
crosswoz_10661_turn3,crosswoz,zh,10661,3,151,29.87,long,streaming_asr_only,914.28,844.42,69.86,
crosswoz_10661_turn3,crosswoz,zh,10661,3,151,29.87,long,full_streaming,899.68,812.64,87.03,
crosswoz_1101_turn3,crosswoz,zh,1101,3,145,29.90,long,baseline,2343.52,2278.64,64.88,
crosswoz_1101_turn3,crosswoz,zh,1101,3,145,29.90,long,streaming_asr_only,787.52,697.93,89.59,
crosswoz_1101_turn3,crosswoz,zh,1101,3,145,29.90,long,full_streaming,914.07,824.37,89.70,
crosswoz_8796_turn2,crosswoz,zh,8796,2,138,30.00,very_long,baseline,2697.97,2639.00,58.97,
crosswoz_8796_turn2,crosswoz,zh,8796,2,138,30.00,very_long,streaming_asr_only,994.96,906.18,88.79,
crosswoz_8796_turn2,crosswoz,zh,8796,2,138,30.00,very_long,full_streaming,1013.93,927.61,86.31,
crosswoz_10749_turn3,crosswoz,zh,10749,3,156,30.48,very_long,baseline,2851.43,2803.07,48.36,
crosswoz_10749_turn3,crosswoz,zh,10749,3,156,30.48,very_long,streaming_asr_only,975.25,917.53,57.72,
